DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,CASE_COUNT_7DAY_AVG,INCOMPLETE
02/29/2020,1,11,0,,
03/01/2020,0,4,0,,
03/02/2020,0,21,0,,
03/03/2020,2,20,0,,
03/04/2020,5,22,0,,
03/05/2020,3,20,0,,
03/06/2020,8,18,0,3.0,
03/07/2020,7,15,0,4.0,
03/08/2020,21,17,0,7.0,
03/09/2020,58,49,0,15.0,
03/10/2020,70,63,0,25.0,
03/11/2020,155,90,1,46.0,
03/12/2020,357,92,0,97.0,
03/13/2020,620,156,0,184.0,
03/14/2020,644,159,2,275.0,
03/15/2020,1037,189,5,420.0,
03/16/2020,2122,317,8,715.0,
03/17/2020,2453,357,8,1055.0,
03/18/2020,2974,470,21,1458.0,
03/19/2020,3707,559,24,1937.0,
03/20/2020,4009,662,47,2421.0,
03/21/2020,2638,700,44,2706.0,
03/22/2020,2580,727,50,2926.0,
03/23/2020,3572,1036,82,3133.0,
03/24/2020,4506,1154,95,3427.0,
03/25/2020,4863,1303,123,3696.0,
03/26/2020,5052,1452,190,3889.0,
03/27/2020,5129,1392,217,4049.0,
03/28/2020,3477,1364,274,4168.0,
03/29/2020,3561,1408,292,4309.0,
03/30/2020,6135,1718,325,4675.0,
03/31/2020,5472,1696,384,4813.0,
04/01/2020,5464,1595,447,4899.0,
04/02/2020,5769,1618,498,5001.0,
04/03/2020,5676,1602,498,5079.0,
04/04/2020,3867,1344,511,5135.0,
04/05/2020,3793,1328,580,5168.0,
04/06/2020,6377,1722,576,5203.0,
04/07/2020,6064,1603,598,5287.0,
04/08/2020,5586,1540,569,5305.0,
04/09/2020,5073,1426,560,5205.0,
04/10/2020,4517,1337,539,5040.0,
04/11/2020,3732,1098,543,5020.0,
04/12/2020,2889,995,572,4891.0,
04/13/2020,3313,1213,571,4453.0,
04/14/2020,4147,1088,511,4180.0,
04/15/2020,3878,981,455,3936.0,
04/16/2020,3530,882,414,3715.0,
04/17/2020,3584,901,384,3582.0,
04/18/2020,2172,665,391,3359.0,
04/19/2020,2346,593,399,3281.0,
04/20/2020,3793,725,364,3350.0,
04/21/2020,3065,661,323,3195.0,
04/22/2020,3462,598,312,3136.0,
04/23/2020,2843,532,332,3038.0,
04/24/2020,2539,550,316,2889.0,
04/25/2020,1595,403,265,2806.0,
04/26/2020,1003,375,246,2614.0,
04/27/2020,2298,444,271,2401.0,
04/28/2020,2730,445,228,2353.0,
04/29/2020,2342,407,240,2193.0,
04/30/2020,2024,345,223,2076.0,
05/01/2020,1889,353,209,1983.0,
05/02/2020,1060,261,192,1907.0,
05/03/2020,785,256,178,1875.0,
05/04/2020,1551,312,159,1769.0,
05/05/2020,1513,283,151,1595.0,
05/06/2020,1402,262,150,1461.0,
05/07/2020,1235,259,141,1348.0,
05/08/2020,1081,257,131,1232.0,
05/09/2020,657,184,100,1175.0,
05/10/2020,458,157,103,1128.0,
05/11/2020,1233,247,103,1083.0,
05/12/2020,1285,211,91,1050.0,
05/13/2020,1336,230,83,1041.0,
05/14/2020,1112,220,70,1023.0,
05/15/2020,875,234,86,994.0,
05/16/2020,488,164,83,970.0,
05/17/2020,359,125,77,955.0,
05/18/2020,900,178,57,908.0,
05/19/2020,1004,205,54,868.0,
05/20/2020,1075,171,81,830.0,
05/21/2020,1072,174,45,825.0,
05/22/2020,1061,197,65,851.0,
05/23/2020,465,134,60,848.0,
05/24/2020,479,120,49,865.0,
05/25/2020,468,141,49,803.0,
05/26/2020,1055,153,37,811.0,
05/27/2020,746,161,49,764.0,
05/28/2020,639,140,38,702.0,
05/29/2020,644,170,43,642.0,
05/30/2020,349,98,54,626.0,
05/31/2020,217,90,39,588.0,
06/01/2020,664,124,34,616.0,
06/02/2020,574,123,38,548.0,
06/03/2020,514,115,43,514.0,
06/04/2020,510,90,33,496.0,
06/05/2020,404,65,28,462.0,
06/06/2020,247,46,35,447.0,
06/07/2020,199,47,24,445.0,
06/08/2020,444,62,41,413.0,
06/09/2020,421,51,33,391.0,
06/10/2020,365,45,31,370.0,
06/11/2020,357,41,21,348.0,
06/12/2020,410,55,23,349.0,
06/13/2020,197,28,14,342.0,
06/14/2020,183,43,24,340.0,
06/15/2020,376,49,20,330.0,
06/16/2020,422,50,19,330.0,
06/17/2020,356,41,20,329.0,
06/18/2020,371,39,17,331.0,
06/19/2020,361,40,17,324.0,
06/20/2020,206,26,19,325.0,
06/21/2020,176,34,28,324.0,
06/22/2020,396,44,25,327.0,
06/23/2020,381,42,27,321.0,
06/24/2020,382,37,25,325.0,
06/25/2020,301,37,19,315.0,
06/26/2020,313,34,20,308.0,
06/27/2020,208,37,21,308.0,
06/28/2020,202,30,19,312.0,
06/29/2020,438,38,25,318.0,
06/30/2020,446,37,24,327.0,
07/01/2020,398,29,12,329.0,
07/02/2020,416,30,25,346.0,
07/03/2020,230,22,23,334.0,
07/04/2020,119,22,14,321.0,
07/05/2020,154,24,17,314.0,
07/06/2020,435,43,17,314.0,
07/07/2020,463,41,13,316.0,
07/08/2020,436,32,20,322.0,
07/09/2020,397,42,10,319.0,
07/10/2020,310,35,10,331.0,
07/11/2020,256,30,13,350.0,
07/12/2020,222,18,11,360.0,
07/13/2020,480,46,16,366.0,
07/14/2020,398,33,10,357.0,
07/15/2020,437,27,14,357.0,
07/16/2020,420,31,10,360.0,
07/17/2020,415,48,13,375.0,
07/18/2020,217,29,11,370.0,
07/19/2020,175,32,7,363.0,
07/20/2020,396,32,11,351.0,
07/21/2020,337,21,11,342.0,
07/22/2020,326,31,8,327.0,
07/23/2020,307,34,9,310.0,
07/24/2020,302,34,6,294.0,
07/25/2020,152,30,11,285.0,
07/26/2020,139,18,8,280.0,
07/27/2020,317,43,5,269.0,
07/28/2020,313,35,12,265.0,
07/29/2020,283,22,5,259.0,
07/30/2020,268,31,4,253.0,
07/31/2020,261,27,4,248.0,
08/01/2020,184,22,8,252.0,
08/02/2020,134,29,2,251.0,
08/03/2020,350,28,3,256.0,
08/04/2020,188,32,6,238.0,
08/05/2020,309,26,8,242.0,
08/06/2020,286,31,5,245.0,
08/07/2020,259,19,5,244.0,
08/08/2020,152,16,5,240.0,
08/09/2020,133,25,3,240.0,
08/10/2020,299,26,6,232.0,
08/11/2020,257,17,6,242.0,
08/12/2020,315,27,2,243.0,
08/13/2020,262,32,3,240.0,
08/14/2020,272,29,4,241.0,
08/15/2020,150,20,7,241.0,
08/16/2020,138,21,3,242.0,
08/17/2020,328,26,6,246.0,
08/18/2020,275,35,2,249.0,
08/19/2020,264,27,3,241.0,
08/20/2020,214,26,6,234.0,
08/21/2020,239,30,3,230.0,
08/22/2020,135,18,4,228.0,
08/23/2020,143,17,4,228.0,6000.0
08/24/2020,278,24,5,221.0,6000.0
08/25/2020,229,29,2,215.0,6000.0
08/26/2020,226,22,2,209.0,6000.0
08/27/2020,103,15,1,193.0,6000.0
08/28/2020,51,3,0,166.0,6000.0
08/29/2020,2,0,0,147.0,6000.0
